Unnamed: 0,geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,DemandGen_spend,Conversions,Population,Revenue_Per_Conversion
211,Arizona,2024-07-08,507.00,640.00,1136.00,0.00,225.46,0.91,16.65,0.00,0.00,7359197.00,0.00
0,Arizona,2024-07-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,Arizona,2024-07-22,1084.00,724.00,1995.00,0.00,414.88,1.34,32.65,0.00,3.00,7359197.00,1764.00
213,Arizona,2024-07-29,1241.00,3343.00,1337.00,0.00,287.98,19.44,22.91,0.00,2.00,7359197.00,1176.00
214,Arizona,2024-08-05,1273.00,2609.00,1613.00,0.00,333.70,10.45,28.35,0.00,3.00,7359197.00,1764.00
215,Arizona,2024-08-12,1238.00,1792.00,1514.00,148.00,506.70,4.87,27.07,2.04,7.00,7359197.00,4116.00
216,Arizona,2024-08-19,1090.00,275.00,1647.00,393.00,679.46,1.84,28.24,12.31,5.00,7359197.00,2940.00
217,Arizona,2024-08-26,1281.00,523.00,1278.00,1397.00,467.40,2.81,19.65,10.49,2.00,7359197.00,1176.00
218,Arizona,2024-09-02,1530.00,784.00,1536.00,352.00,561.95,9.59,23.68,9.56,1.00,7359197.00,588.00
219,Arizona,2024-09-09,1076.00,767.00,1415.00,201.00,436.11,12.97,24.40,1.27,7.00,7359197.00,4116.00
220,Arizona,2024-09-16,1002.00,3893.00,1220.00,380.00,543.03,57.15,20.65,6.04,2.00,7359197.00,1176.00
221,Arizona,2024-09-23,1169.00,5466.00,1097.00,262.00,425.03,27.92,16.44,2.70,2.00,7359197.00,1176.00
222,Arizona,2024-09-30,1378.00,7183.00,1300.00,438.00,389.13,28.34,18.87,9.88,1.00,7359197.00,588.00
223,Arizona,2024-10-07,1507.00,517.00,1226.00,195.00,413.95,53.29,18.56,6.28,2.00,7359197.00,1176.00
224,Arizona,2024-10-14,1270.00,542.00,1174.00,292.00,673.14,10.16,21.96,2.31,1.00,7359197.00,588.00
225,Arizona,2024-10-21,1012.00,82.00,3125.00,358.00,499.04,6.65,15.94,10.65,3.00,7359197.00,1764.00
226,Arizona,2024-10-28,1004.00,250.00,619.00,343.00,499.46,19.72,16.93,5.32,2.00,7359197.00,1176.00
227,Arizona,2024-11-04,1349.00,2435.00,968.00,429.00,422.51,49.96,23.69,10.57,2.00,7359197.00,1176.00
228,Arizona,2024-11-11,2080.00,5734.00,816.00,280.00,772.58,82.11,23.79,9.44,10.00,7359197.00,5880.00
229,Arizona,2024-11-18,1678.00,6298.00,4993.00,250.00,642.22,50.86,27.28,2.88,5.00,7359197.00,2940.00
230,Arizona,2024-11-25,1369.00,2185.00,2793.00,240.00,512.10,83.61,24.94,5.61,0.00,7359197.00,0.00
231,Arizona,2024-12-02,1322.00,3650.00,2648.00,493.00,660.13,32.68,26.01,21.17,5.00,7359197.00,2940.00
232,Arizona,2024-12-09,1390.00,1962.00,2814.00,303.00,572.68,20.86,24.87,3.99,3.00,7359197.00,1764.00
233,Arizona,2024-12-16,1332.00,1857.00,1610.00,142.00,586.52,6.83,25.41,6.71,4.00,7359197.00,2352.00
234,Arizona,2024-12-23,1242.00,388.00,1892.00,147.00,448.66,1.98,26.72,4.36,2.00,7359197.00,1176.00
235,Arizona,2024-12-30,921.00,738.00,3630.00,544.00,343.36,18.86,22.22,21.40,0.00,7359197.00,0.00
236,Arizona,2025-01-06,912.00,1877.00,4526.00,2230.00,215.71,14.90,25.16,19.44,0.00,7359197.00,0.00
237,Arizona,2025-01-13,1927.00,2299.00,3831.00,1339.00,692.70,9.30,23.83,15.88,5.00,7359197.00,2940.00
238,Arizona,2025-01-20,2359.00,1841.00,2878.00,1093.00,867.72,5.41,18.99,27.56,6.00,7359197.00,3528.00
239,Arizona,2025-01-27,2444.00,747.00,2378.00,2022.00,761.63,4.47,21.02,31.71,4.00,7359197.00,2352.00
240,Arizona,2025-02-03,1495.00,364.00,925.00,1731.00,504.70,1.84,11.93,22.05,8.00,7359197.00,4704.00
