geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,Demand Gen_spend,Conversions,Population,Revenue_Per_Conversion
North Dakota,10/23/23,82,234,47,,$24.67,$0.00,$0.74, --,0,779702,$0
Ohio,10/23/23,780,"4,763","1,032",,$268.71,$17.56,$13.89, --,2,11780017,"$1,176"
Oklahoma,10/23/23,237,"1,934",389,,$114.35,$3.21,$5.41, --,0,3986639,$0
Oregon,10/23/23,300,890,648,,$105.79,$4.83,$7.55, --,1,4237256,$588
Pennsylvania,10/23/23,"1,085","4,473","1,305",,$447.56,$11.47,$22.32, --,8,12964056,"$4,704"
Rhode Island,10/23/23,81,232,134,,$29.83,$1.26,$1.95, --,1,1098163,$588
San Francisco Bay Area,10/23/23,792,"13,406","1,930",,$282.06,$26.68,$24.80, --,3,7753000,"$1,764"
Silicon Valley,10/23/23,166,179,507,,$37.45,$0.00,$7.07, --,0,3137600,$0
South Carolina,10/23/23,566,"2,138",440,,$190.87,$3.00,$6.74, --,1,5190705,$588
South Dakota,10/23/23,53,173,44,,$19.83,$0.00,$0.53, --,0,903027,$0
Tennessee,10/23/23,523,"3,532",558,,$217.41,$13.49,$7.60, --,2,6975218,"$1,176"
Texas,10/23/23,"2,891","10,297","3,273",,$938.77,$60.24,$47.36, --,11,29527941,"$6,468"
Utah,10/23/23,265,418,299,,$105.12,$0.52,$4.08, --,1,3337975,$588
Vermont,10/23/23,50,198,53,,$20.32,$0.00,$0.63, --,0,643077,$0
Virginia,10/23/23,833,"4,605",952,,$233.20,$14.04,$12.67, --,3,8642274,"$1,764"
Washington,10/23/23,"1,320","2,136","1,466",,$374.70,$19.01,$30.25, --,6,7796941,"$3,528"
West Virginia,10/23/23,80,629,127,,$30.95,$0.00,$1.63, --,1,1782959,$588
Wisconsin,10/23/23,366,734,464,,$133.55,$1.64,$7.58, --,0,5893718,$0
Wyoming,10/23/23,59,90,46,,$8.80,$0.29,$0.62, --,1,577719,$588
Alabama,10/30/23,389,"5,428",410,,$101.49,$9.50,$6.03, --,2,5039877,"$1,176"
Alaska,10/30/23,130,353,92,,$24.05,$0.00,$1.26, --,0,732673,$0
Arizona,10/30/23,729,"4,618",740,,$265.57,$1.71,$13.32, --,1,7359197,$588
Arkansas,10/30/23,225,"3,818",210,,$101.21,$2.62,$2.74, --,1,3011524,$588
California,10/30/23,"10,715","18,901","5,507",,"$1,490.25",$24.98,$80.80, --,10,39538223,"$5,880"
Colorado,10/30/23,820,"4,810",670,,$282.93,$3.48,$10.31, --,0,5807719,$0
Connecticut,10/30/23,397,"1,972",384,,$186.82,$5.37,$5.98, --,1,3605597,$588
Delaware,10/30/23,127,610,154,,$51.46,$0.44,$2.13, --,0,1003384,$0
District of Columbia,10/30/23,251,"1,377",200,,$119.11,$1.40,$3.97, --,2,689545,"$1,176"
Florida,10/30/23,"58,262","21,784","2,916",,"$2,326.40",$39.92,$49.77, --,24,21781128,"$14,112"
Georgia,10/30/23,"1,251","23,120","1,240",,$539.72,$81.10,$19.99, --,3,10711908,"$1,764"
Hawaii,10/30/23,276,"5,451",858,,$66.73,$2.76,$12.59, --,1,1455271,$588
Idaho,10/30/23,121,"1,033",127,,$47.06,$0.83,$2.28, --,2,1839106,"$1,176"
Illinois,10/30/23,"1,233","17,049","1,721",,$546.60,$25.52,$27.50, --,4,12671469,"$2,352"
Indiana,10/30/23,432,"8,255",510,,$174.01,$16.22,$6.67, --,2,6785528,"$1,176"
Iowa,10/30/23,194,"2,187",186,,$80.71,$2.58,$3.14, --,0,3190369,$0
Kansas,10/30/23,169,"2,350",200,,$41.46,$4.31,$3.13, --,1,2937880,$588
Kentucky,10/30/23,267,"3,980",249,,$90.95,$4.69,$3.45, --,1,4505836,$588
Lagos,10/30/23,,1,,, --,$0.00, --, --,0,15000000,$0
Louisiana,10/30/23,835,"5,746",403,,$175.75,$6.43,$5.97, --,0,4657757,$0
Maine,10/30/23,123,"1,009",118,,$39.85,$0.40,$3.11, --,0,1372247,$0
